Movie_name,Actors,Crtitic_ratings,Release date & duration,User_ratings,Language,Movie_type
Pati Patni Aur Woh,"Kartik Aaryan, Bhumi Pednekar, Ananya Panday, Aparshakti Khurana, Rajesh Sharma, K.K. Raina, Navni Parihar, Ankita Goraya",3.5,06 Dec 2019 | 2 hrs 2 mins,3.4,Hindi,"Comedy, Romance | UA"
X Ray: The Inner Image,"Rahul Sharma, Yashika Kapoor",2,29 Nov 2019 | 1 hr 33 mins,2.6,"Hindi, English, Tamil, Telugu, Kannada","Drama, Thriller | A"
LuvUTurn,"Ruslaan Mumtaz, Adhvik Mahajan, Ruhi Chaturvegi, Purva Rana",3.5,29 Nov 2019 | 2 hrs 2 mins,,Hindi,"Drama,Romantic | UA"
Tony,"Jinal Belani, Manoj Chandila, Kabeer Chilwal, Yashodhan Rana, Akshay Verma",2.5,29 Nov 2019 | 1 hr 55 mins,2.8,Hindi,Drama | UA
Yeh Saali Aashiqui,"Vardhan Puri, Shivaleeka Oberoi, Jessey Lever",3.5,29 Nov 2019 | 2 hrs 17 mins,3.2,Hindi,"Romance, Thriller | A"
Commando 3,"Vidyut Jammwal, Adah Sharma, Angira Dhar, Gulshan Devaiah, Mark Bennington, Simran Mundi",2.5,29 Nov 2019 | 2 hrs 13 mins,2.9,Hindi,"Action, Thriller, Drama | UA"
Dosti Zindabad,"Dev Sharma, Sakshi Maggo, Shakti Kapoor, Mohan Joshi, Ayub Khan, Kiran Kumar, Ehsaan Khan, Abbas Khan, Sabiha Attarwala, Rahul Choudhari, Rajiv Nigam",1,22 Nov 2019 | 2 hrs 10 mins,1.8,Hindi,Drama | UA
Pagalpanti,"John Abraham, Ileana D Cruz, Urvashi Rautela, Anil Kapoor, Arshad Warsi, Pulkit Samrat, Kriti Kharbanda, Saurabh Shukla, Innamulhaq",2,22 Nov 2019 | 2 hrs 32 mins,2.5,Hindi,"Comedy, Action | UA"
Lafange Nawab,"Robin Sohi, Manoj Bakshi, Ritam Bhardwaj, Ratan Rathaur",3.3,15 Nov 2019 | 2 hrs 34 mins,,Hindi,Drama |UA
Romi The Hero,"Gullu Dada, Shehbaaz Khan, Mudassir Khan",3.1,15 Nov 2019 | 2 hrs 15 mins,,Hindi,"Action,Drama,Romantic | UA"
Motichoor Chaknachoor,"Nawazuddin Siddiqui, Athiya Shetty, Vibha Chibber, Navni Parihar, Sanjeev Vatsa, Bhumika Dube, Devansh Kumar, Usha Nagar",2.5,15 Nov 2019 | 2 hrs 15 mins,2.9,Hindi,"Comedy, Romance | UA"
Keep Safe Distance,"Shahbaaz Khan, Adi Irani, Vikas Anand, Kiran Kumar, Anil Nagrath, Pradeep Kabra, Monika Ravan",1,15 Nov 2019 | 2 hrs 8 mins,1.7,Hindi,"Action, Thriller | UA"
Marrne Bhi Do Yaaron,"Krushna Abhishek, Kashmira Shah, Rishaab Chauhaan, Rajesh Puri, Kishwar Merchant",2,15 Nov 2019 | 2 hrs 10 mins,2.5,Hindi,Drama | UA
Bagpat Ka Dulha,"Jae Singh, Ruchi Singh, Raza Murad, Amita Nangia, Ravi Jhankal, Lalit Parimoo, Puneet Vashist",1,15 Nov 2019 | 2 hrs 17 mins,1.8,Hindi,"Comedy, Romance | UA"
Marjaavaan,"Riteish Deshmukh, Sidharth Malhotra, Tara Sutaria, Rakul Preet Singh, Nushrat Bharucha, Ravi Kishan, Shaad Randhawa, Bikramjeet Kanwarpal",2.5,15 Nov 2019 | 2 hrs 17 mins,2.8,Hindi,"Action, Drama | UA"
Jhalki,"Boman Irani, Tannishtha Chatterjee, Divya Dutta, Yatin Karyekar, Govind Namdeo, Sanjay Suri, Akhilendra Mishra, Arti Jha",2,14 Nov 2019 | 1 hr 52 mins,2.5,Hindi,Drama | UA
Make In India,"Raghubir Yadav, Himani Shivpuri, K. K. Goswami, Saumendra Dash",3,14 Nov 2019 | 2 hrs 20 mins,,Hindi,Drama | U
Satellite Shankar,"Sooraj Pancholi, Palomi Ghosh, Megha Akash",2,08 Nov 2019 | 2 hrs 2 mins,2.4,Hindi,"Action, Drama | UA"
Mr.Black Mr.White,"Rajpal Yadav, Vinay Pathak, Sanjay Mishra",3.3,08 Nov 2019 | 2 hrs 5 mins,,Hindi,Comedy | UA
Bala,"Ayushmann Khurrana, Bhumi Pednekar, Yami Gautam, Jaaved Jaaferi, Saurabh Shukla, Seema Pahwa",4,08 Nov 2019 | 2 hrs 9 mins,4.2,Hindi,"Drama, Comedy | UA"
Laughter Ke Chapter,"Mushtaq Khan, Birbal, Aryan Singh",2.7,08 Nov 2019 | 1 hr 46 mins,,Hindi,Comedy | UA
Bypass Road,"Neil Nitin Mukesh, Adah Sharma, Sudhanshu Pandey, Rajit Kapoor, Gul Panag, Shama Sikander",2,08 Nov 2019 | 1 hr 58 mins,2.5,Hindi,Thriller | UA
Ekta,"Robin Sohi, Salil Ankola, Rushad Rana, Navneet Kaur Dhillon",4.2,08 Nov 2019 | 1 hr 39 mins,,Hindi,Romance | A
Ujda Chaman,"Sunny Singh, Maanvi Gagroo, Karishma Sharma, Saurabh Shukla, Atul Kumar, Grusha Kapoor, Sharib Hashmi",2.5,01 Nov 2019 | 2 hrs 0 mins,3,Hindi,"Drama, Comedy | UA"
Zindagi Tumse,"Sadhana Singh, Guddi Maruti, Rajesh Puri, Vijay Ishwarlal Pawar, Srichand Makhija",3.3,25 Oct 2019 | 2 hrs 4 mins,,Hindi,Drama | U
Made In China,"Rajkummar Rao, Mouni Roy, Boman Irani, Sumeet Vyas, Manoj Joshi, Amyra Dastur, Gajraj Rao, Paresh Rawal",3,25 Oct 2019 | 2 hrs 10 mins,3.2,Hindi,"Comedy, Drama | UA"
Saand Ki Aankh,"Taapsee Pannu, Bhumi Pednekar, Prakash Jha, Vineet Kumar Singh, Nikhat Khan, Shaad Randhawa",3.5,25 Oct 2019 | 2 hrs 10 mins,,Hindi,"Biography, Drama | U"
Housefull 4,"Akshay Kumar, Riteish Deshmukh, Boman Irani, Bobby Deol, Kriti Sanon, Pooja Hegde, Kriti Kharbanda, Nawazuddin Siddiqui, Johnny Lever, Chunky Pandey, Nana Patekar",2.5,25 Oct 2019 | 2 hrs 26 mins,2.6,Hindi,"Comedy, Drama | UA"
Love in College,"Sapan Krishna, Priya Gupta, Abhishek Dixit, Ankit Raghav, Kiran Kumar, Mushtaq Khan, Ahshaan Quresi",3.1,18 Oct 2019 | 2 hrs 23 mins,,Hindi,"Drama,Romantic | UA"
